SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
550;"64.20.20";2;Ikke-finansielle holdingselskaber;"Branchen omfatter selskaber, hvis hovedaktivitet er at eje kontrollerende andele i andre ikke-finansielle selskaber (dvs. selskaber med branchekoder, der ikke starter med 64, 65 eller 66). ";- Selskaber, hvis hovedaktivitet er at eje kontrollerende interesser i andre ikke-finansielle selskaber (selskaber udenfor brancherne 64, 65 og 66);;"- Selskaber med ledelses/styringsaktiviteter eller strategisk planlægning og beslutningstagen af datterselskaber og foretagender, jf. <ref>70.10</ref>.
- Gennemløbsholdingselskaber, jf.<ref>64.20.30</ref>";;
551;"64.20.30";2;Gennemløbsholdingselskaber;"Branchen omfatter udenlandsk kontrollerede selskaber, hvis hovedaktivitet er at eje kontrollerende andele i andre udenlandske selskaber. ";- Selskaber, der er udenlandsk kontrolleret og hvis hovedaktivitet er at eje kontrollerende interesser i andre selskaber, der er hjemmehørende i udlandet. Gennemløbsholdingselskaber er endvidere karakteriseret ved, at holdingselskabet ikke har realøkonomisk virksomhed, fx ansatte eller produktion af varer og tjenester i Danmark (af betydning), og normalt ikke ejer selskaber i Danmark;;- Selskaber med ledelses/styringsaktiviteter eller strategisk planlægning og beslutningstagen af datterselskaber og foretagender, jf. <ref>70.10</ref>.;;
552;"64.30.10";2;Investeringsforeninger;Branchen omfatter foreninger, hvis formål er at investere medlemmers midler i et bredt udvalg af værdipapirer, hvorved risikoen spredes for den enkelte deltager. Porteføljerne er tilpasset efter at opnå specifikke investeringskarakteristika, hvad angår spredning, risiko, forrentning.(jf. lov om investeringsforeninger og specialforeninger, samt andre kollektive investeringsordninger).;- Foreninger, hvis formål er investering af medlemmernes midler i et bredt udvalg af værdipapirer, hvorved risikoen spredes for den enkelte deltager, jf. lov om investeringsforeninger og specialforeninger, samt andre kollektive investeringsordninger mv.;"- Innovationsforeninger
- Hedge-foreninger";;;
553;"64.30.20";2;Pengemarkedsforeninger;Branchen omfatter foreninger, hvis formål udelukkende er investering af midler i rentebærende kortfristede papirer (jf. lov om investeringsforeninger og specialforeninger, samt andre kollektive investeringsordninger).;- Foreninger, hvis formål udelukkende er investering af medlemmernes midler i rentebærende kortfristede papirer, jf. lov om investeringsforeninger og specialforeninger, samt andre kollektive investeringsordninger.;;;;
554;"64.30.30";2;Investeringsselskaber;"Branchen omfatter selskaber, der investerer aktionærers penge, uden at forvalte dem, i andre selskaber. Hovedparten af investeringsselskabernes aktiver er porteføljeinvesteringer, ejerandelene er små, og formålet er ikke at opnå kontrollerende indflydelse. ";;;;;
555;"64.30.40";2;Ventureselskaber og kapitalfonde;Branchen omfatter ventureselskaber og kapitalfonde. Ventureselskaber investerer mere aktivt end investeringsselskaber, og køber større ejerandele. Et ventureselskab kan ligeledes yde ansvarlig lånekapital til virksomheden, som selskabet har ejerandel i. Kapitalfonde ligner ventureselskaber, men flere kapitalfonde arbejder ofte sammen, med det formål at opnå kontrol over de virksomheder, der investeres i.;;;;;
556;"64.91.00";2;Finansiel leasing;Branchen omfatter leasing, hvor lejeperioden omtrent dækker aktivets levetid.  Ved finansiel leasing er det leasingtager, som har risicierne ved at eje aktivet. Aktivet kan senere overdrages til leaseren. Virksomheder, der beskæftiger sig med operationel leasing henvises til brancher, der starter med 77.;- Leasing, hvor lejeperioden omtrent dækker aktivets forventede levetid, og leasingtageren i stor udstrækning opnår alle fordelene ved brugen heraf og påtager sig alle risici, der er forbundet med at eje det. Aktivet kan senere overdrages. Den type leasing dækker alle eller næsten alle udgifter, herunder rente;;- Operationel leasing, jf. hovedgruppe <ref>77</ref>, alt efter den leasede genstand;;
557;"64.92.10";2;Realkreditinstitutter;Branchen omfatter realkreditinstitutter. Der må ikke drives indlån i denne branche, jf. Lov om finansiel virksomhed.;;;;;
558;"64.92.20";2;Andre kreditinstitutter;Branchen omfatter institutter, der hovedsaglig beskæftiger sig med långivning. Midlerne til udlån kan komme fra private. Pengeinstitutter og realkreditinstitutter er ikke omfattet.;- Foretagender, hvis virksomhed består i fra offentligheden at modtage indlån eller andre midler, der skal tilbagebetales, samt i at yde lån for egen regning og som ikke er klassificeret som pengeinstitutter eller realkreditinstitutter;;;;
559;"64.92.30";2;Andre kreditselskaber;Branchen omfatter selskaber, der giver kredit til forbrugere og ikke-finansielle virksomheder. Selskaber i denne brancher har ikke indlån.;"- Selskaber der giver kredit til ikke-finansielle foretagender
- Kreditkortselskaber
- Forbrugerkreditselskaber";;;;
560;"64.92.40";2;FVC-selskaber;Branchen omfatter selskaber, som overvejende er etableret med formålet om at udføre securitisering, dvs at aktiver eller risiko overføres til selskabet og videreformidles til investor.;- Selskaber som er etableret overvejende med det formål at udføre securitisering, hvorved aktiver eller risiko overføres til selskabet og videreformidles til investor;;;;
561;"64.99.00";2;Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.;Branchen omfatter virksomheder, der investerer for egen regning, herunder egen formuepleje. Branchen omfatter også koncerninterne investeringer.;"- Anden finansiel formidling hovedsagelig omfattende fordeling af midler bortset fra långivning:
- Investering for egen regning i værdipapirer eller andre finansielle dokumenter,
fx aktier, obligationer, indlånsbeviser mv.
- Factoring
- Confirming
- Indgåelse af swaps, optioner og andre dækningsforretninger
- Koncerninterne finansieringsaktiviteter, fx netting eller cashpooling";"- Investeringsklubber
- Formuepleje";"- Finansiel leasing, jf. <ref>64.91.00</ref>
- Handel med værdipapirer for andres regning, jf. <ref>66.12.00</ref>
- Handel med leasing og udlejning af fast ejendom, jf. hovedgruppe <ref>68</ref>
- Inkassovirksomhed uden opkøb af gæld, jf. <ref>82.91.00</ref>
- Långivning ydet af organisationer og foreninger, jf. <ref>94.99.00</ref>";;
562;"65.11.00";2;Livsforsikring;Branchen omfatter tegning af livsforsikrings-, indkomst- og forsikringspolicer ved død.;- Tegning af livrente- og livsforsikringspolicer, indkomstforsikringspolicer ved handicap og forsikringspolicer for dødsfald som følge af ulykke og lemlæstelse (med og uden et væsentligt opsparingselement);;;;
563;"65.12.00";2;Anden forsikring;Branchen omfatter forsikring af enhver art, der ikke er livsforsikring.;"- Forsikringsvirksomhed bortset fra livsforsikring:
- Ulykkesforsikring, brandforsikring
- Sygeforsikring
- Rejseforsikring
- Ejendomsskadeforsikring
- Forsikring af automobiler, både og skibe, fly, transportforsikring
- Forsikring mod økonomisk tab samt ansvarsforsikring";;;;
564;"65.20.00";2;Genforsikring;Branchen omfatter risikoovertagelse i forbindelse med forskringspolicer, som er tegnet af livsforsikrings- og forsikringsselskaber;- Overtagelse af al eller en del af risikoen forbundet med eksisterende forsikringspolicer, som oprindeligt er tegnet af livsforsikringsselskaber og andre forsikringsselskaber;;;;
565;"65.30.10";2;Pensionskasser;Branchen omfatter foreninger eller sammenslutninger, hvis formål er at udbetale pension efter ensartede regler til medlemmer, som er uddannet inden for bestemte uddannelsesområder eller er ansat bestemte virksomheder.;"- Foreninger, som har til formål at udbetale pensionsydelser til medlemmerne af pensionskassen
- ATP";;;;
566;"65.30.20";2;Anden pensionsforsikring;Branchen omfatter fx forsikringsselskaber, firmapensionskasser, som udbetaler pension på normale forsikringsvilkår.;- Udbetaling af pensionsydelser på almindelige forsikringsvilkår;- Firmapensionskasser;;;
567;"66.11.00";2;Forvaltning af kapitalmarkeder;Branchen omfatter tjenesteydelser tæt forbundet til kapitalmarkeder. Det kan være fysiske eller elektroniske markedspladser med henblik på at lette køb og salg af forskellige former for værdipapirer fx vare-, værdipapirbørser.;"- Forvaltning af og tilsyn med kapitalmarkeder, som ikke udøves af offentlige myndigheder fx:
- Varebørser
- Varebørser for handel med futures
- Værdipapirbørser
- Fondsbørser
- Optionsbørser for aktier eller varer";;;;
568;"66.12.00";2;Værdipapir- og varemægling;Branchen omfatter tjenesteydelser primært mæglere tæt forbundet til handel med aktier, obligationer og varer for andre, fx fondsbørsmæglere, varebørsmæglere og valutahandlere.;"- Handel på kapitalmarkeder på andres vegne (dvs. børsmægling) o.l.
- Fondsbørsmæglere
- Varebørsmæglere
- Valutahandlere mv.";;"- Handel på markeder for egen regning, jf.<ref>64.99.00</ref>
- Porteføljemanagement på honorar- eller kontraktbasis, jf.<ref>66.30.00</ref>";;
569;"66.19.00";2;Andre hjælpetjenester i forbindelse med finansiel formidling;Branchen omfatter behandling af finansielle transaktioner fx kreditkorttransaktioner, endvidere investeringsrådgivning og realkreditmæglere.;"- Hjælpetjenester i forbindelse med finansiel formidling i.a.n.:
- Behandling og afregning af finansielle transaktioner, herunder
kreditkorttransaktioner
- Investeringsrådgivning
- Realkreditrådgivere og -mæglere";- Forvaltning af båndlagt kapital og depotforvaltning på honorar- eller kontraktbasis;- Forsikringsagenters og forsikringsmægleres virksomhed, jf.<ref>66.22.00</ref>;;
570;"66.21.00";2;Risiko- og skadesvurdering;Branchen omfatter opgørelse af erstatning og administration for tredjemand.;"- Forvaltning af forsikringer, fx vurdering og opgørelse af forsikringserstatning
- Risiko- og skadesvurdering
- Skade- og tabsopgørelse";;"- Vurdering af fast ejendom, jf.<ref>68.31.10</ref>
- Vurdering med andre formål, jf.<ref>74.90.90</ref>
- Overvågning, jf.<ref>80.30.00</ref>";;
571;"66.22.00";2;Forsikringsagenters og forsikringsmægleres virksomhed;Branchen omfatter formidling af livrente-, forsikrings- og genforsikringspolicer.;- Forsikringsagenters og forsikringsmægleres virksomhed (forsikringsformidlere) ved formidling af livrente-, forsikrings- og genforsikringspolicer;;;;
572;"66.29.00";2;Andre hjælpetjenester i forbindelse med forsikring og pensionsforsikring;Branchen omfatter fx administration af bjergning, aktuarvirksomhed og lignende tjenester, der er tæt forbundet med forsikring.;"- Virksomhed bestående af eller tæt forbundet med forsikring og pensionsforsikring (undtagen finansiel formidling, opgørelse af erstatning og forsikringsagenters virksomhed):
- Administration af bjærgning
- Aktuarvirksomhed";;- Bjærgning til søs, jf.<ref>52.22.20</ref>;;
573;"66.30.00";2;Formueforvaltning;Branchen omfatter virksomheder, der forvalter andres formue, på kontrakt- eller honorarbasis. Forvaltning af egen formue er omfattet af 64.99.00 Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.;"- Portefølje- og formueforvaltning på honorar- eller kontraktbasis som fx:
- Forvaltning af investeringsforeninger
- Forvaltning af andre investeringsselskaber
- Forvaltning af pensionsfonde";;;;
574;"7";1;Ejendomshandel og udlejning;;;;;;
575;"68.10.00";2;Køb og salg af egen fast ejendom;Branchen omfatter virksomheder der gennem egen virksomhed køber og sælger fast ejendom, fx villaer, boligkomplekser, indkøbscentre, herunder jord til udstykning.;"- Køb og salg af egen eller leaset fast ejendom:
- Boligkomplekser og parcelhuse
- Bygninger, som ikke anvendes til beboelse, herunder udstillingshaller, oplagringsfaciliteter og indkøbscentre
- Jord";- Udstykning af fast ejendom i parceller, uden jordforbedring;"- Udstykning og forbedring af jord, jf.<ref>42.99.00</ref>
- Gennemførelse af byggeprojekter, jf.<ref>41.10.00</ref>
- Drift af hoteller, pensionater, campingpladser og lignende faciliteter til korttidsophold, jf.<ref>55</ref>
- Drift af suitehoteller og tilsvarende overnatningsfaciliteter, jf.<ref>55.10</ref>";;
576;"68.20.10";2;Almennyttige boligselskaber;"Branchen omfatter almennyttige boligselskaber der udlejer lejligheder, herunder handicapegnede boliger, ungdomsboliger og kollegier. Administration af almennyttige boligselskaber ligger i 68.32.10. ";"- Almennyttige boligselskaber oprettet efter godkendelse af Boligministeriet (efter 1. januar 1989 af kommunalbestyrelsen). De kan være organiseret som almennyttige andelsboligforeninger, selvejende boligselskaber eller garantiselskaber
- De fleste selskaber har kun aktivitet i en kommune og er opdelt i afdelinger, således at hver enkelt bebyggelse udgør en selvstændig afdeling, der er økonomisk uafhængig af de andre afdelinger i selskabet
- Der er ikke knyttet nogen individuel ejerrettighed til beboelsen af almennyttige boliger";"- Handicapegnede boliger
- Ungdomsboliger
- Kollegier";"- Private andelsboligforeninger, jf.<ref>68.20.20</ref>
- De (normalt landsdækkende) selskaber inden for den almennyttige sektor i deres egenskab af forretningsførerselskaber jf.<ref>68.32.10</ref>
- Plejehjem med sygepleje, jf.<ref>87.10.10</ref>
- Beskyttede boliger, jf.<ref>87.30.20</ref>";;
577;"68.20.20";2;Private andelsboligforeninger;Branchen omfatter andelsboligforeninger, der har til formål at eje og drive ejendom på andelsbasis.;- Private andelsboligforeninger har til formål at eje og drive en ejendom på andelsbasis. Foreningens medlemmer har andel i foreningens formue, og den enkelte andelshaver har brugsret til en lejlighed i ejendommen. Private andelsboligforeninger kan være oprettet enten ved, at lejerne i en eksisterende ejendom har erhvervet ejendommen på andelsbasis eller som nyopførte statsstøttede andelsboliger;;- Almennyttige andelsboligforeninger, jf.<ref>68.20.10</ref>;;
578;"68.20.30";2;Anden udlejning af boliger;Branchen omfatter selskaber (minus boligselskaber) og enkeltpersoners udlejning af boliger. Herunder udlejning af møblerede boliger, drift af time-share bygninger og pladser til beboelsesvogne.;- Selskabers (bortset fra boligselskaber) og enkeltpersoners udlejning af boliger;"- Drift af time-share bygninger, også hvor hoteldrift indgår som sekundær aktivitet
- Langtidsudlejning af møblerede boliger
- Drift af pladser til beboelsesvogne";- Drift af hoteller, campingpladser o.l. jf. hovedgruppe<ref>55</ref>;;
579;"68.20.40";2;Udlejning af erhvervsejendomme;Branchen omfatter udlejning af erhvervsejendomme, landbrugsarealer og -ejendomme.  Herunder også drift af lager- og kontorhotelfaciliteter, lagerplads og plads til opstaldning.;"- Udlejning af erhvervsejendomme
- Udlejning af landbrugsarealer og landbrugsejendomme";"- Slots- og Ejendomsstyrelsen
- Udlejning af plads udelukkende til opstaldning af husdyr
- Udlejning af lagerplads
- Drift af lagerhotelfaciliteter
- Kontorhoteller";;;
580;"68.31.10";2;Ejendomsmæglere;Branchen omfatter køb og salg af fast ejendom, herunder rådgivning og vurdering i forbindelse med køb og salg herunder aktiviteter udøvet af byggesagkyndige.;"- Ejendomsmægleres virksomhed i forbindelse med fast ejendom:
- Formidling af køb og salg af fast ejendom
- Rådgivning og vurdering i forbindelse med køb og salg af fast ejendom";- Aktiviteter, der udøves af byggesagkyndige;- Juridisk bistand, jf.<ref>69.10.00</ref>;;
581;"68.31.20";2;Boliganvisning, ferieboligudlejning mv.;Branchen omfatter udlejning af tredjemands faste ejendom, inklusiv ferieboliger, på honorar- eller kontraktbasis.;"- Formidling af udlejning af fast ejendom
- Formidling af udlejning af ferieboliger";;;;
582;"68.32.10";2;Administration af fast ejendom på kontraktbasis;Branchen omfatter administration og økonomistyring af andres boliger herunder almennyttige boligselskaber administration af selvstændige boligafdlinger. Administration af vand- og varmeregnskaber placeres også her.;"- Ejendomsadministrationskontorer
- Administration af varmeregnskaber
- Forretningsførerselskabers administration for almennyttige boligselskaber";;"- Advokaters ejendomsadministration, selv om denne udgør deres hovedaktivitet, jf.<ref>69.10.00</ref>
- Ejendomsservice og selvstændige viceværter, jf.<ref>81.10.00</ref>";;
583;"68.32.20";2;Ejerforeninger;Branchen omfatter ejerlejlighedsforeninger, grundejerforeninger, herunder også kystsikringslaug.;"- Ejerlejlighedsforeninger
- Grundejerforeninger og kolonihaveforeningers administrative aktivitet";"- Kystsikringslaug
- Antenneforeninger
";- Sendesamvirke, jf. <ref>61.90.00</ref>;;
584;"8";1;Erhvervsservice;;;;;;
585;"69.10.00";2;Juridisk bistand;Branchen omfatter juridiske sager, der udøves af eller under opsyn af advokater, herunder udfærdigelse af skøder og testamenter. Fogeder, opmænd mv. er også placeret her.;"- Repræsentation af den ene parts interesser over for den anden part i sager, som eventuelt er indbragt for domstole eller andre retslige instanser. Denne virksomhed udøves af eller under tilsyn af advokater:
- Rådgivning og repræsentation i civile sager
- Rådgivning og repræsentation i straffesager
- Rådgivning og repræsentation i forbindelse med faglige konflikter
- Generel juridisk rådgivning, udfærdigelse af juridiske dokumenter:
- Stiftelsesoverenskomster, interessentskabskontrakter og lignende dokumenter i
forbindelse med stiftelse af selskaber
- Patenter og ophavsret
- Udfærdigelse af skøder, testamenter, båndlæggelsesdokumenter mv.
- Anden virksomhed, der udøves af notarius publicus, fogeder, voldgiftsdommere, opmænd mv.";- Ejendomsadministration udført af advokater;"- Domstolenes virksomhed, jf.<ref>84.23.00</ref>
- Ejendomsadministration, der ikke udføres af advokater, jf. <ref>68.32.10</ref>";;
586;"69.20.00";2;"Bogføring og revision; skatterådgivning";Branchen omfatter bogføringsopgaver, udarbejdelse af regnskaber, revision af bogholderi samt repræsentation overfor skattemyndigheder.;"- Bogføring af erhvervsmæssige transaktioner for virksomheder og andre
- Opstilling eller revision af årsregnskaber
- Revision af regnskaber og påføring af revisionspåtegning
- Udfyldelse af selvangivelser for privatpersoner og virksomheder
- Rådgivning og repræsentation af klienter over for skattemyndighederne";;"- Behandling og tabulering af data, jf.<ref>63.11.00</ref>
- Virksomhedsrådgivning om fx regnskabssystemer, omkostningsregnskaber, budgetkontrolprocedurer, jf.<ref>70.22.00</ref>
- Inkassovirksomhed, jf.<ref>82.91.00</ref>";;
587;"70.10.10";2;Ikke-finansielle hovedsæders virksomhed;Branchen omfatter virksomheder, der har tilsyn med og styring af andre ikke-finansielle selskaber. Virksomheder i denne branche udøver operationel kontrol eller styrer deres tilknyttede enheders daglige drift.;- Tilsyn med og styring af andre ikke-finansielle enheder i selskabet eller foretagendet, jf. beskrivelsen under 70.10;;- Finansielle hovedsæders virksomhed, jf.<ref>70.10.20</ref>;;
588;"70.10.20";2;Finansielle hovedsæders virksomhed;Branchen omfatter selskaber, der har tilsyn med og styring af andre finansielle selskaber. Virksomheder i denne branche udøver operationel kontrol eller styrer deres tilknyttede enheders daglige drift.;- Tilsyn med og styring af andre finansielle enheder i selskabet eller foretagendet, jf. beskrivelsen under 70.10;;;;
589;"70.21.00";2;Public relations og kommunikation;Branchen omfatter virksomhedsrådgivning om PR-arbejde og kommunikation.;- Rådgivning, vejledning og bistand til virksomheder og andre organisationer om public relation-arbejde og kommunikation;;"- Reklamebureauer og salg af reklameplads i medier, jf.<ref>73.1</ref>
- Markedsanalyse og offentlig meningsmåling, jf.<ref>73.20.00</ref>";;
590;"70.22.00";2;Virksomhedsrådgivning og anden rådgivning om driftsledelse;Branchen omfatter rådgivning og vejledning om bla strategi, planlægning og udvikling. Omfatter ikke juridisk bistand jf 69.10.00 eller skatterådgivning jf 69.20.00;"- Rådgivning, vejledning og bistand til virksomheder og andre organisationer om forvaltningsspørgsmål som fx strategisk og organisatorisk planlægning i virksomheder, reorganisering af forretningsprocedurer, forandringsledelse, omkostningsreduktion og andre finansielle anliggender, markedsføringsmål og
-politikker, praksis og planlægning vedrørende personale, godtgørelse og pensionsstrategier, produktionsplanlægning og kontrolplanlægning.
- Denne forretningsservice kan omfatte rådgivning, vejledning og bistand til private og offentlige virksomheder vedrørende:
- Udvikling af regnskabsmetoder og -procedurer, omkostningsregnskaber,
budgetkontrolprocedurer og regnskabssystemer
- Rådgivning og bistand til private og offentlige virksomheder vedrørende
planlægning, organisation, rationalisering og kontrol, ledelsesinformation mv.";;"- Udvikling af software til regnskabssystemer, jf.<ref>62.01.00</ref>
- Juridisk bistand og repræsentation, jf.<ref>69.10.00</ref>
- Bogføring og revision, skatterådgivning, jf.<ref>69.20.00</ref>
- Arkitekt- og ingeniørvirksomhed, jf.<ref>71.11.00</ref>,<ref>71.12</ref>
- Rådgivningsvirksomhed inden for miljø, agronomi, sikkerhed o.l., jf.<ref>74.90</ref>
- Medvirken ved ansættelse eller rekruttering af overordnet personale, jf.<ref>78.10.00</ref>
- Uddannelsesrådgivning, jf.<ref>85.60.00</ref>";;
591;"71.11.00";2;Arkitektvirksomhed;Branchen omfatter bygningstegning og projekteringsarbejde, byplanlægning.;"- Arkitektrådgivning:
- Bygningstegning og projekteringsarbejde
- Byplanlægning og landskabsarkitektur";;"- It-konsulenters virksomhed, jf.<ref>62.02.00</ref>,<ref>62.09.00</ref>
- Indretningsarkitektvirksomhed, jf.<ref>74.10.30</ref>";;
592;"71.12.10";2;Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder;Branchen omfatter rådgivning og projektledelse inden for byggeri og anlæg, herunder rådgivning inden for geoteknik, miljøbeskyttelse og energi. Omfatter ikke geologiske undersøgelser jf 71.12.40;"- Rådgivende ingeniørvirksomhed omfatter teknisk rådgivning og bistand inden for funktionsområderne planlægning, projektering, projektledelse, tilsyn og drift
- Rådgivende ingeniørvirksomhed inden for infrastruktur fx veje, broer, vandbygning
- Rådgivende ingeniørvirksomhed inden for forsyning fx energi- og vandforsyning, herunder afløb og rensning
- Rådgivende ingeniørvirksomhed inden for miljø fx miljøbeskyttelse, miljøforebyggelse
- Rådgivende ingeniørvirksomhed inden for energi fx energiplanlægning, energibesparelser
- Installationsteknik i relation til byggeri og anlæg, herunder bl.a. elektroteknik, ventilationsteknik, køleteknik og støjbekæmpelse
- Geoteknik og fundering";;"- Geologiske undersøgelser og prospektering, jf.<ref>71.12.40</ref>
- Forskning og udvikling, jf.<ref>72.1</ref>
- Energi- og varmekonsulenter, jf.<ref>71.12.90</ref>
- Industrielt design, jf.<ref>74.10.10</ref>";;
593;"71.12.20";2;Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik;Branchen omfatter rådgivning inden for produktions- og maskinteknik, herunder teknisk rådgivning inden for alle fremstillingsbrancher, logistik og produktudvikling.;"- Rådgivende ingeniørvirksomhed omfatter teknisk rådgivning og bistand inden for funktionsområderne planlægning, projektering, projektledelse, tilsyn og drift
- Teknisk rådgivning og bistand inden for produktions- og procesteknik inden for alle fremstillingsbrancher, herunder maskinkonstruktion
- Teknisk rådgivning og bistand inden for logistik
- Teknisk rådgivning og bistand inden for produktudvikling";;"- Forskning og udvikling, jf. 72.1- Industrielt design, jf.<ref>74.10.10</ref>
- Teknisk afprøvning, jf.<ref>71.20</ref>
- Udvikling og udgivelse af tilhørende software, jf.<ref>58.29.00</ref>,<ref>62.01.00</ref>
- Edb-konsulenters virksomhed, jf.<ref>62.02.00</ref>,<ref>62.09.00</ref>";;
594;"71.12.30";2;Opstilling og levering af færdige fabriksanlæg;Branchen omfatter levering og opstilling af færdige fabriksanlæg, men ikke opførelse af bygninger og anlæg.;;;;;
595;"71.12.40";2;Geologiske undersøgelser og prospektering, landinspektører mv.;Branchen omfatter undersøgelser på jorden, under jorden og i vandet eller under fx landinspektører, geologiske undersøgelser og aktiviteter vedrørende kartografiske og territoriale data.;"- Landinspektører
- Geofysiske, geologiske og seismografiske undersøgelser
- Geodætiske målinger:
- Land- og grænsemåling
- Hydrologiske målinger
- Målinger under jordoverfladen
- Aktiviteter vedrørende kartografiske og territoriale data";;- Luftfotografering, jf.<ref>74.20.00</ref>;;
596;"71.12.90";2;Anden teknisk rådgivning;Branchen omfatter energi- og varmekonsulenter, rådgivning om arbejdsmiljø og rådgivning inden for biologisk-kemiske foranstaltninger.;"- Energi- og varmekonsulenter
- Individuel rådgivning inden for biologisk-kemisk rådgivning og energiforsyning
- Arbejdsmiljørådgivning";;"- Teknisk afprøvning, jf.<ref>71.20</ref>
- Miljørådgivning, jf. <ref>74.90.90</ref>";;
597;"71.20.10";2;Kontrol af levnedsmidler;Branchen omfatter kontrol og undersøgelser i forbindelse med levnedsmidler, herunder dyrlægekontrol inden for fødevareproduktion.;- Afprøvning og undersøgelser i forbindelse med fødevarehygiejne, herunder dyrelægekontrol inden for fødevareproduktion;- Fødevareregionerne;- Afprøvning af animalske prøver, jf.<ref>75.00.00</ref>;;
598;"71.20.20";2;Teknisk afprøvning og kontrol;Branchen omfatter kontrol og teknisk afprøvning af alle typer materialer og produkter, fx maskinafprøvning, typegodkendelse og akustik.;"- Fysisk, kemisk og anden analytisk afprøvning af alle typer materiale og produkter, herunder:
- Akustisk afprøvning og vibrationsafprøvning
- Afprøvning af mineralers sammensætning og renhed mv.
- Afprøvning af materialers fysiske karakteristika og præstationer som fx styrke,
tykkelse, holdbarhed, radioaktivitet mv.
- Egnetheds- og pålidelighedsafprøvning
- Præstationsafprøvning af maskiner: motorer, biler, elektrisk udstyr mv.
- Radiografisk afprøvning af svejsesømme og samlinger
- Fejlanalyse
- Typegodkendelse af produkter, herunder forbrugsvarer, motorkøretøjer, fly, trykbeholdere, atomanlæg mv.
- Periodisk sikkerhedsafprøvning af motorkøretøjer
- Afprøvning ved hjælp af modeller (af fly, skibe, dæmninger mv.)
- Drift af politilaboratorier";;- Diagnostisk billeddannelse, afprøvning og analyse af medicinske og dentale prøver, jf.<ref>86</ref>;;
599;"71.20.90";2;Anden måling og teknisk analyse;Branchen omfatter måling og teknisk analyse af miljøindikatorer, herunder måling af luft- og vandforurening. Omfatter også analyse af bygningsberegninger.;"- Miljøtekniske målinger og analyser, herunder:
- Afprøvning og måling af miljøindikatorer: luft- og vandforurening mv.
- Analyse af bygningsberegninger";;;;
600;"72.11.00";2;Forskning og eksperimentel udvikling indenfor bioteknologi;Branchen omfatter grundforskning, anvendt forskning eller eksperimentel udvikling indenfor bioteknologi.;"- Forskning og eksperimentel udvikling inden for DNA (kodningen):
- Genomik, farmakogenetik, genprøver, DNA-sekvensering/syntese/amplifikation,
genteknik
- Forskning og eksperimentel udvikling inden for proteiner og molekyler (de funktionelle blokke):
- Protein/peptidsekvensering/syntese, lipid/protein/glykoteknik, proteomik, hormoner
og vækstfaktorer, cellereceptorer/signalering/feromoner
- Forskning og eksperimentel udvikling inden for celle- og vævskultur og -teknik:
- Celle-/vævskultur, vævsteknik, hybridation, cellefusion,
vaccine/immunstimulatorer, embryomanipulation
- Forskning og eksperimentel udvikling inden for procesbioteknologi:
- Bioreaktorer, fermentation, bioforarbejdning, bioudvinding, bioafsvovling,
biologisk pulpfremstilling, biofiltrering, biologisk regeneration
- Forskning og eksperimentel udvikling inden for subcellulære organismer:
- Genterapi, virale vektorer
- Bioinformatik: opbygning af databaser der beskriver genomer, proteinsekvenser, modellering af komplekse biologiske processer, inklusiv biologiske systemer
- Nanobioteknologi: Anvendelse af redskaber og processer fra nano/mikrofremstilling til at konstruere mekanismer til brug ved undersøgelse af biologiske systemer og anvendelse i medicinering, diagnoser osv.";;;;
601;"72.19.00";2;Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik;Branchen omfatter grundforskning, anvendt forskning eller eksperimentel udvikling indenfor naturvidenskab og teknik.;"- Forskning og eksperimentel udvikling inden for naturvidenskab og teknik undtagen bioteknologisk forskning og eksperimentel udvikling:
- Forskning og udvikling inden for naturvidenskab
- Forskning og udvikling inden for teknik og teknologi
- Forskning og udvikling inden for medicin
- Forskning og udvikling inden for landbrug
- Tværfaglig forskning og udvikling, hovedsageligt inden for naturvidenskab og
teknik";;;;
602;"72.20.00";2;Forskning og eksperimentel udvikling inden for samfundsvidenskab og humanistiske videnskaber;Branchen omfatter grundforskning, anvendt forskning eller eksperimentel udvikling indenfor samfundsvindenskab og humanistiske videnskaber.;"- Forskning og udvikling inden for samfundsvidenskab
- Forskning og udvikling inden for humanistiske videnskaber
- Tværfaglig forskning og udvikling, hovedsageligt inden for samfundsvidenskab og humanistiske videnskaber";;- Markedsanalyse, jf.<ref>73.20.00</ref>;;
