SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
394;"46.49.90";2;Engroshandel med andre husholdningsartikler;Branchen omfatter engroshandel med legetøj, spil, træ-, kurve- og korkvarer, musikinstrumenter, antikviteter, hobbyartikler, og ikke-elektriske husholdingsartikler mv.;"- Engroshandel med legetøj og spil
- Engroshandel med trævarer, kurvevarer og korkvarer mv.
- Engroshandel med musikinstrumenter
- Engroshandel med antikviteter
- Engroshandel med hobbyartikler
- Engroshandel med brændeovne
- Engroshandel med engangsservice
- Engroshandel med ikke-elektriske husholdningsartikler";;;;
395;"46.51.00";2;Engroshandel med computere, ydre enheder og software;;"- Engroshandel med computere og ydre enheder hertil
- Engroshandel med software, herunder computerspil";;"- Engroshandel med elektronisk udstyr, jf.<ref>46.52.10</ref>
- Engroshandel med kontormaskiner og kontorudstyr, jf.<ref>46.66.00</ref>";;
396;"46.52.10";2;Engroshandel med elektronisk udstyr;Branchen omfatter engroshandel med mikrochips, trykte kredsløb, halvlederkomponenter, elektronrør o.lign.;"- Engroshandel med elektronrør
- Engroshandel med halvlederkomponenter
- Engroshandel med mikrochips og integrerede kredsløb
- Engroshandel med trykte kredsløb";;"- Engroshandel med indspillede kassettebånd og videobånd, cd'er, dvd'er, jf.<ref>46.43.30</ref>
- Engroshandel med computere og ydre enheder hertil, jf.<ref>46.51.00</ref>";;
397;"46.52.20";2;Engroshandel med telekommunikationsudstyr;Branchen omfatter engroshandel med uindspillede medier, som lydbånd, CD'er, DVD'er, disketter, dørtelefoner, faxmaskiner, og telefon- og kommunikationsudstyr mv.;"- Engroshandel med uindspillede lyd- og videobånd og disketter, magnetiske og optiske diske (cd'er og dvd'er)
- Engroshandel med telefon- og kommunikationsudstyr
- Engroshandel med dørtelefoner";;- Engroshandel med indspillede kassettebånd og videobånd, cd'er, dvd'er, jf.<ref>46.43.30</ref>;;
398;"46.61.00";2;Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil;Branchen omfatter engroshandel med bl.a. pløjemaskiner, gødningsspredere, høstmaskiner, malkemaskiner, traktorer til land- og skovbrug, haveredskaber og plænklippere mm.;"- Engroshandel med landbrugsmaskiner og -udstyr:
- Pløjemaskiner, gødningsspredere, såmaskiner, harver mv.
- Høstmaskiner
- Tærskemaskiner
- Malkemaskiner
- Maskiner til fjerkræavl, maskiner til biavl
- Traktorer til landbrug og skovbrug
- Engroshandel med haveredskaber";- Engroshandel med plæneklippere uanset betjeningsmåde;;;
399;"46.62.00";2;Engroshandel med værktøjsmaskiner;Branchen omfatter engroshandel med alle typer værkstøjsmakiner, til alle typer materialer;- Engroshandel med værktøjsmaskiner af alle typer og til alle materialer;- Engroshandel med computerstyrede værktøjsmaskiner;;;
400;"46.63.00";2;Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed;Branchen omfatter engroshandel  med maskiner til minedrift, bygge- og anlægsvirksomhed.;;;;;
401;"46.64.00";2;Engroshandel med maskiner, udstyr og tilbehør til tekstilindustrien;Branchen omfatter engroshandel med alle typer maskiner og udstyr til tekstilindustrien, fx sy- og strikkemaskiner.;;- Engroshandel med computerstyrede maskiner til tekstilindustrien samt computerstyrede sy- og strikkemaskiner;;;
402;"46.65.00";2;Engroshandel med kontormøbler;Branchen omfatter engroshandel med kontormøbler;;;;;
403;"46.66.00";2;Engroshandel med andre kontormaskiner og andet kontorudstyr;Branchen omfatter engroshandel med fx kopimaskiner;- Engroshandel med kontormaskiner og kontorudstyr undtagen computere og ydre enheder hertil;;"- Engroshandel med computere og ydre enheder, jf.<ref>46.51.00</ref>
- Engroshandel med elektroniske dele og telefon- og kommunikationsudstyr, jf.<ref>46.52</ref>";;
404;"46.69.00";2;Engroshandel med andre maskiner og andet udstyr;Branchen omfatter engroshandel med fx samlebåndsrobotter, kabler, kontakter, elektromotorer, transformere, elektriske brandalarmer, fiskeriudstyr mv.;"- Engroshandel med transportudstyr undtagen motorkøretøjer, motorcykler og cykler
- Engroshandel med samlebåndsrobotter
- Engroshandel med kabler og kontakter og andet installationsudstyr til erhvervsmæssigt brug
- Engroshandel med andet elektronisk udstyr, fx elektromotorer, transformere
- Engroshandel med billetautomater
- Engroshandel med andre maskiner i.a.n. til industrien (undtagen mineindustrien, bygge- og anlægssektoren og tekstilindustrien), handel og navigation samt andre tjenesteydelser
- Engroshandel med elektriske brandalarmer
- Engroshandel med fiskeriudstyr";- Engroshandel med måleinstrumenter og -udstyr;"- Engroshandel med motorkøretøjer, anhængere og campingvogne, jf.<ref>45.1</ref>
- Engroshandel med tilbehør til motorkøretøjer, jf.<ref>45.31.00</ref>
- Engroshandel med motorcykler, jf.<ref>45.40.00</ref>
- Engroshandel med cykler, jf.<ref>46.49.10</ref>";;
405;"46.71.00";2;Engroshandel med fast, flydende og luftformigt brændstof og lignende varer;Branchen omfatter engroshandel med fx motorbrændstof, smørefedt, smøreolie, olie, trækul, brænde, rensebenzin, flaskegas, vaseline og raffinerede olieprodukter;- Engroshandel med motorbrændstof, smørefedt, smøreolie, olie, fx: trækul, kul, koks, brænde, rensebenzin, råpetroleum, råolie, dieselolie, benzin, fuelolie, fyringsolie, petroleum, flaskegas, smøreolie og smørefedt, raffinerede olieprodukter, vaseline;;;;
